scenario_id,success,out_of_road
218,0.9624900104783085,0.9589424766105019
219,0.954082958432854,0.9054220201679137
220,0.9507716616095172,0.9590004799900596
221,0.9534306385078103,0.9712629616280591
222,0.9517189801747407,0.9517189801747407
223,0.9534208050647297,0.9563473947448318
224,0.9509433614111975,0.9509433614111975
225,0.9506015950132457,0.9587387308846288
226,0.9645352279184898,0.9610601409258438
227,0.9519662692881232,0.9532537576246806
228,0.9553130350135243,0.9305309682273406
229,0.9803546133796367,0.9803546133796367
230,0.9502034920096029,0.9509492996384756
231,0.9505386661990688,0.8460199007859319
232,0.9584966838208626,0.8950593160151034
233,0.9587209540043573,0.9587209540043573
234,0.9557748452521199,0.9557667513803945
235,0.960637172489226,0.9617218697317046
236,0.9543755631646135,0.9250485005467433
237,0.9539454085396067,0.9539095365229806
238,0.5847538761769979,0.8968969848499921
239,0.9571386466550497,0.951276313784882
240,0.9667870227310629,0.963071084960274
241,0.9865877434220702,0.9502589464306985
242,0.8000915520439544,0.8000915520439544
243,0.9553298207463017,0.9581490368660062
244,0.9821434628946714,0.9744005666444439
245,0.9572158130095961,0.9543531753204987
246,0.9666957149349026,0.9659648452472362
247,0.9526321488803332,0.6694698871820122
248,0.9660685000537627,0.9683338289511448
249,0.9639499515578197,0.7739432684691548
250,0.9577619950553958,0.9577619950553958
251,0.9561003117450149,0.9525448392518494
252,0.967036080538932,0.7138265158575534
253,0.9815890475535789,0.9858169294214367
254,0.9543983460850721,0.5280625951120613
255,0.9675933633553526,0.9675933633553526
256,0.9636885817909863,0.9513555176928841
257,0.9654415807038472,0.9629592672341066
258,0.9559632173316095,0.9559632173316095
259,0.9510807699800382,0.954728221744958
260,0.9693489329875061,0.9360978140688748
261,0.9725509339417036,0.968033201387687
262,0.9504127921996562,0.9504127921996562
263,0.9568263389583946,0.9568254723106474
264,0.5799294653555597,0.5724863601972275
265,0.9541458052826033,0.9258011185695667
266,0.9554967481714826,0.7690618033734642
267,0.951739094865087,0.9600706424183248
268,0.9611688031309157,-0.0011510805363536512
269,0.9531764465210134,0.5310469850379397
270,0.9620043413448585,0.9620034994309851
271,0.9519095950032453,0.9519105655381147
272,0.9544757121349626,0.6169224321835695
273,0.9624690065093882,0.9624679367591532
274,0.96010082960855,0.9746058995802819
275,0.9595046657719676,0.5312045607438353
276,0.9510931916764461,0.9682824133761659
277,0.9587016515885292,0.9587016515885292
278,0.33348712071672915,0.2942997736300299
279,0.9529164886608552,0.9627995521631044
280,0.9541613547387937,0.9569763508116812
281,0.9657260771859848,0.9677681587067676
